input,target
"""1 1 1 0 0 4 1 4 'ip' 1 ""","""Algoritmo conversion Escribir 'ip' FinAlgoritmo"""
"""1 1 1 0 0 4 1 4 'ip' 1 ""","""Algoritmo conversion Escribir 'ip' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'sum' 1 ""","""Algoritmo conversion Escribir 'sum' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'tax' 1 ""","""Algoritmo conversion Escribir 'tax' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'row' 1 ""","""Algoritmo conversion Escribir 'row' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'map' 1 ""","""Algoritmo conversion Escribir 'map' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'set' 1 ""","""Algoritmo conversion Escribir 'set' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'api' 1 ""","""Algoritmo conversion Escribir 'api' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'key' 1 ""","""Algoritmo conversion Escribir 'key' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'url' 1 ""","""Algoritmo conversion Escribir 'url' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'uri' 1 ""","""Algoritmo conversion Escribir 'uri' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'key' 1 ""","""Algoritmo conversion Escribir 'key' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'bit' 1 ""","""Algoritmo conversion Escribir 'bit' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'nan' 1 ""","""Algoritmo conversion Escribir 'nan' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'job' 1 ""","""Algoritmo conversion Escribir 'job' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'api' 1 ""","""Algoritmo conversion Escribir 'api' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'par' 1 ""","""Algoritmo conversion Escribir 'par' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'url' 1 ""","""Algoritmo conversion Escribir 'url' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'uri' 1 ""","""Algoritmo conversion Escribir 'uri' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'red' 1 ""","""Algoritmo conversion Escribir 'red' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'sal' 1 ""","""Algoritmo conversion Escribir 'sal' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'bit' 1 ""","""Algoritmo conversion Escribir 'bit' FinAlgoritmo"""
"""1 1 1 0 0 4 1 5 'nan' 1 ""","""Algoritmo conversion Escribir 'nan' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'data' 1 ""","""Algoritmo conversion Escribir 'data' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'temp' 1 ""","""Algoritmo conversion Escribir 'temp' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'flag' 1 ""","""Algoritmo conversion Escribir 'flag' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'size' 1 ""","""Algoritmo conversion Escribir 'size' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'area' 1 ""","""Algoritmo conversion Escribir 'area' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'time' 1 ""","""Algoritmo conversion Escribir 'time' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'date' 1 ""","""Algoritmo conversion Escribir 'date' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'rate' 1 ""","""Algoritmo conversion Escribir 'rate' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'cost' 1 ""","""Algoritmo conversion Escribir 'cost' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'mode' 1 ""","""Algoritmo conversion Escribir 'mode' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'step' 1 ""","""Algoritmo conversion Escribir 'step' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'list' 1 ""","""Algoritmo conversion Escribir 'list' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'tree' 1 ""","""Algoritmo conversion Escribir 'tree' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'node' 1 ""","""Algoritmo conversion Escribir 'node' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'edge' 1 ""","""Algoritmo conversion Escribir 'edge' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'path' 1 ""","""Algoritmo conversion Escribir 'path' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'root' 1 ""","""Algoritmo conversion Escribir 'root' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'leaf' 1 ""","""Algoritmo conversion Escribir 'leaf' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'mode' 1 ""","""Algoritmo conversion Escribir 'mode' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'body' 1 ""","""Algoritmo conversion Escribir 'body' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'sort' 1 ""","""Algoritmo conversion Escribir 'sort' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'join' 1 ""","""Algoritmo conversion Escribir 'join' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'item' 1 ""","""Algoritmo conversion Escribir 'item' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'pair' 1 ""","""Algoritmo conversion Escribir 'pair' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'disk' 1 ""","""Algoritmo conversion Escribir 'disk' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'file' 1 ""","""Algoritmo conversion Escribir 'file' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'path' 1 ""","""Algoritmo conversion Escribir 'path' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'host' 1 ""","""Algoritmo conversion Escribir 'host' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'port' 1 ""","""Algoritmo conversion Escribir 'port' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'hash' 1 ""","""Algoritmo conversion Escribir 'hash' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'salt' 1 ""","""Algoritmo conversion Escribir 'salt' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'text' 1 ""","""Algoritmo conversion Escribir 'text' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'char' 1 ""","""Algoritmo conversion Escribir 'char' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'byte' 1 ""","""Algoritmo conversion Escribir 'byte' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'true' 1 ""","""Algoritmo conversion Escribir 'true' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'null' 1 ""","""Algoritmo conversion Escribir 'null' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'enum' 1 ""","""Algoritmo conversion Escribir 'enum' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'task' 1 ""","""Algoritmo conversion Escribir 'task' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'suma' 1 ""","""Algoritmo conversion Escribir 'suma' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'alto' 1 ""","""Algoritmo conversion Escribir 'alto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'area' 1 ""","""Algoritmo conversion Escribir 'area' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'peso' 1 ""","""Algoritmo conversion Escribir 'peso' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'tasa' 1 ""","""Algoritmo conversion Escribir 'tasa' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'moda' 1 ""","""Algoritmo conversion Escribir 'moda' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'paso' 1 ""","""Algoritmo conversion Escribir 'paso' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'fila' 1 ""","""Algoritmo conversion Escribir 'fila' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'mapa' 1 ""","""Algoritmo conversion Escribir 'mapa' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'cola' 1 ""","""Algoritmo conversion Escribir 'cola' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'pila' 1 ""","""Algoritmo conversion Escribir 'pila' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'nodo' 1 ""","""Algoritmo conversion Escribir 'nodo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'ruta' 1 ""","""Algoritmo conversion Escribir 'ruta' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'raiz' 1 ""","""Algoritmo conversion Escribir 'raiz' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'hoja' 1 ""","""Algoritmo conversion Escribir 'hoja' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'rama' 1 ""","""Algoritmo conversion Escribir 'rama' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'hijo' 1 ""","""Algoritmo conversion Escribir 'hijo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 6 'modo' 1 ""","""Algoritmo conversion Escribir 'modo' FinAlgoritmo"""
